
2025/02/05 (20:53:03) | ===> btop++ v.1.4.0
2025/02/05 (20:53:03) | ERROR: Stall in Runner thread, restarting!
2025/02/05 (20:53:20) | ERROR: Stall in Runner thread, restarting!
2025/02/05 (20:53:57) | ERROR: Stall in Runner thread, restarting!
2025/02/05 (20:54:20) | ERROR: Stall in Runner thread, restarting!

2025/02/05 (21:01:51) | ===> btop++ v.1.4.0
2025/02/05 (21:01:51) | ERROR: Stall in Runner thread, restarting!

2025/02/07 (18:47:49) | ===> btop++ v.1.4.0
2025/02/07 (18:47:49) | ERROR: Stall in Runner thread, restarting!

2025/02/08 (14:18:42) | ===> btop++ v.1.4.0
2025/02/08 (14:18:42) | ERROR: Stall in Runner thread, restarting!
2025/02/08 (14:18:56) | ERROR: Stall in Runner thread, restarting!
2025/02/08 (14:19:02) | ERROR: Stall in Runner thread, restarting!

2025/02/10 (19:12:33) | ===> btop++ v.1.4.0
2025/02/10 (19:12:33) | ERROR: Stall in Runner thread, restarting!

2025/02/11 (20:03:42) | ===> btop++ v.1.4.0
2025/02/11 (20:03:42) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/02/11 (20:04:30) | ===> btop++ v.1.4.0
2025/02/11 (20:04:30) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
